,index_x,kmsqId,Operation,VMS_pointCount_PredictedOp,VMSOpTime(min)_PredictedOp,geom,index_y,VMS_pointCount_ObservedOp,VMSOpTime(min)_ObservedOp
11,11.0,30037,AN,4.0,33.64515819750719,"POLYGON ((1.018115698615024 40.97054237837006, 1.076962229343302 40.97587924889077, 1.083374343134496 40.9310096619124, 1.0245690524647926 40.92567722669522, 1.018115698615024 40.97054237837006))",11.0,4.0,33.64515819750719
12,12.0,30040,AN,5.0,42.05644774688399,"POLYGON ((1.037437934592528 40.835938889176376, 1.0961609799517438 40.84126248060965, 1.1025355693594376 40.796384875641024, 1.0438535296471612 40.79106569273603, 1.037437934592528 40.835938889176376))",12.0,5.0,42.05644774688399
13,13.0,30041,AN,6.0,50.46773729626079,"POLYGON ((1.0438535296471612 40.79106569273603, 1.1025355693594376 40.796384875641024, 1.1088977168171998 40.75150458735027, 1.050256605008528 40.74618980409617, 1.0438535296471612 40.79106569273603))",13.0,6.0,50.46773729626079
14,14.0,30251,AN,1.0,8.411289549376798,"POLYGON ((1.076962229343302 40.97587924889077, 1.1358175797443144 40.98118119561003, 1.1421884269240221 40.93630720135064, 1.083374343134496 40.9310096619124, 1.076962229343302 40.97587924889077))",14.0,1.0,8.411289549376798
15,15.0,30252,AN,1.0,8.411289549376798,"POLYGON ((1.083374343134496 40.9310096619124, 1.1421884269240221 40.93630720135064, 1.1485468111953745 40.89143054864335, 1.0897739155866069 40.88613740759128, 1.083374343134496 40.9310096619124))",15.0,1.0,8.411289549376798
16,16.0,30254,AN,1.0,8.411289549376798,"POLYGON ((1.0961609799517438 40.84126248060965, 1.154892765612192 40.84655123214655, 1.161226323106402 40.80166924651006, 1.1025355693594376 40.796384875641024, 1.0961609799517438 40.84126248060965))",16.0,1.0,8.411289549376798
17,17.0,30255,AN,5.0,42.05644774688399,"POLYGON ((1.1025355693594376 40.796384875641024, 1.161226323106402 40.80166924651006, 1.1675475164886084 40.75678458637501, 1.1088977168171998 40.75150458735027, 1.1025355693594376 40.796384875641024))",17.0,5.0,42.05644774688399
18,18.0,30256,AN,6.0,50.46773729626079,"POLYGON ((1.1088977168171998 40.75150458735027, 1.1675475164886084 40.75678458637501, 1.1738563784486333 40.71189724637404, 1.1152474552110836 40.70662161039359, 1.1088977168171998 40.75150458735027))",18.0,6.0,50.46773729626079
19,19.0,30466,AN,3.0,25.233868648130397,"POLYGON ((1.1421884269240221 40.93630720135064, 1.2010112492738338 40.94156983669463, 1.2073284190656643 40.896688813595745, 1.1485468111953745 40.89143054864335, 1.1421884269240221 40.93630720135064))",19.0,3.0,25.233868648130397
20,20.0,30469,AN,3.0,25.233868648130397,"POLYGON ((1.161226323106402 40.80166924651006, 1.2199257368016836 40.806918797106256, 1.2262059500930365 40.76202979295951, 1.1675475164886084 40.75678458637501, 1.161226323106402 40.80166924651006))",20.0,3.0,25.233868648130397
21,21.0,30470,AN,5.0,42.05644774688399,"POLYGON ((1.1675475164886084 40.75678458637501, 1.2262059500930365 40.76202979295951, 1.232473909697528 40.717138117693096, 1.1738563784486333 40.71189724637404, 1.1675475164886084 40.75678458637501))",21.0,9.0,75.70160594439119
